Login - 2018-10-08 6:35:17 PM: 0001
Login - 2018-10-08 6:39:14 PM: 0001
Added User - 2018-10-08 6:42:20 PM: New User Id: 0003,UserLevel: SALES_MANAGER,Added by: 0001
Added User - 2018-10-08 6:42:56 PM: New User Id: 0004,UserLevel: CONTROLLER,Added by: 0001
Login - 2018-10-08 7:10:12 PM: 0003
Login - 2018-10-08 7:10:35 PM: 0001
Added User - 2018-10-08 7:12:24 PM, New User Id: 0005,UserLevel: CLERK, Added by: 0001
Login - 2018-11-24 4:04:11 PM, User Id: MB01
Login - 2018-11-24 4:04:51 PM, User Id: KL03
Logout - 2018-11-24 4:04:55 PM, User Id: KL03
Login - 2018-11-24 4:05:06 PM, User Id: KL03
Login - 2018-11-24 4:05:21 PM, User Id: KL03
Login - 2018-11-24 4:08:48 PM, User Id: KL03
Login - 2018-11-24 4:11:39 PM, User Id: KL03
Login - 2018-11-24 4:17:46 PM, User Id: KA01
Logout - 2018-11-24 4:18:18 PM, User Id: KA01
Login - 2018-11-24 4:23:52 PM, User Id: MB01
Logout - 2018-11-24 4:24:26 PM, User Id: MB01
Login - 2018-11-24 4:25:35 PM, User Id: MB01
Logout - 2018-11-24 4:25:49 PM, User Id: MB01
Login - 2018-11-24 4:33:47 PM, User Id: ZORE
Login - 2018-11-24 4:34:01 PM, User Id: ZORE
Login - 2018-11-24 4:35:00 PM, User Id: ZORE
Login - 2018-11-24 4:37:21 PM, User Id: ZORE
Logout - 2018-11-24 4:38:12 PM, User Id: ZORE
Login - 2018-11-24 4:38:34 PM, User Id: ZORE
Login - 2018-11-24 4:41:40 PM, User Id: ZORE
Logout - 2018-11-24 4:42:00 PM, User Id: ZORE
Login - 2018-11-24 4:43:02 PM, User Id: ZORE
Login - 2018-11-24 4:54:23 PM, User Id: KA01
Login - 2018-11-24 4:55:45 PM, User Id: MB01
Login - 2018-11-24 4:57:18 PM, User Id: KA01
Login - 2018-11-24 4:57:49 PM, User Id: MB01
Login - 2018-11-24 4:59:27 PM, User Id: MB01
Login - 2018-11-24 5:00:07 PM, User Id: MB01
Login - 2018-11-24 5:06:47 PM, User Id: KL03
Login - 2018-11-24 5:09:19 PM, User Id: ZORE
Login - 2018-11-24 5:10:17 PM, User Id: KL03
Login - 2018-11-24 5:10:30 PM, User Id: MB01
Logout - 2018-11-24 5:10:33 PM, User Id: MB01
Login - 2018-11-24 5:10:53 PM, User Id: KL03
Login - 2018-11-24 5:11:16 PM, User Id: MB01
Logout - 2018-11-24 5:11:19 PM, User Id: MB01
Login - 2018-11-24 5:11:39 PM, User Id: KA01
Login - 2018-11-24 9:50:28 PM, User Id: KL03
Added User - 2018-11-24 9:52:49 PM, New User Id: Fortuna,UserLevel: MIS_MANAGER, Added by: KL03
User Removed- 2018-11-24 9:57:02 PM, Removed User Id: Fortuna, Removed by: KL03
Login - 2018-11-24 9:59:44 PM, User Id: MB01
Login - 2018-11-24 10:00:11 PM, User Id: KL03
Login - 2018-11-24 10:02:35 PM, User Id: KL03
Added User - 2018-11-24 10:04:10 PM, New User Id: Elka,UserLevel: SALES_MANAGER, Added by: KL03
Logout - 2018-11-24 10:04:30 PM, User Id: KL03
Login - 2018-11-24 10:05:04 PM, User Id: MB01
Login - 2018-11-24 10:06:15 PM, User Id: KL03
Password Reset- 2018-11-24 10:06:32 PM,User Id: Elka,Reset by: KL03
Logout - 2018-11-24 10:06:39 PM, User Id: KL03
Login - 2018-11-24 10:06:48 PM, User Id: Elka
Logout - 2018-11-24 10:06:57 PM, User Id: Elka
Login - 2018-11-24 10:07:03 PM, User Id: KL03
Added User - 2018-11-24 10:08:57 PM, New User Id: Fortuna,UserLevel: CLERK, Added by: KL03
Logout - 2018-11-24 10:09:07 PM, User Id: KL03
Login - 2018-11-24 10:09:12 PM, User Id: Fortuna
Logout - 2018-11-24 10:09:21 PM, User Id: Fortuna
Login - 2018-11-24 10:09:30 PM, User Id: KL03
User Removed- 2018-11-24 10:10:00 PM, Removed User Id: Fortuna, Removed by: KL03
Logout - 2018-11-24 10:10:13 PM, User Id: KL03
Login - 2018-11-24 10:10:25 PM, User Id: KL03
Login - 2018-11-24 10:13:32 PM, User Id: MB01
Logout - 2018-11-24 10:13:38 PM, User Id: MB01
Login - 2018-11-24 10:13:45 PM, User Id: KL03
User Removed- 2018-11-24 10:14:33 PM, Removed User Id: Elka, Removed by: KL03
